TITLE = "data/coba_fd_opr_baru461.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 461", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,-0.08715,2000.00000
10.00000,30.00000,10.00000,-0.05834,2000.00000
10.00000,50.00000,10.00000,0.04230,2000.00000
10.00000,70.00000,10.00000,0.07122,2000.00000
10.00000,90.00000,10.00000,0.00728,2000.00000
10.00000,110.00000,10.00000,-0.02706,2000.00000
10.00000,130.00000,10.00000,-0.00091,2000.00000
10.00000,150.00000,10.00000,-0.01218,2000.00000
10.00000,170.00000,10.00000,-0.05695,2000.00000
10.00000,190.00000,10.00000,-0.02734,2000.00000
10.00000,210.00000,10.00000,0.06474,2000.00000
10.00000,230.00000,10.00000,0.10544,2000.00000
10.00000,250.00000,10.00000,0.05406,2000.00000
10.00000,270.00000,10.00000,-0.04596,2000.00000
10.00000,290.00000,10.00000,-0.12043,2000.00000
10.00000,310.00000,10.00000,-0.10610,2000.00000
10.00000,330.00000,10.00000,-0.01925,2000.00000
10.00000,350.00000,10.00000,0.07184,2000.00000
10.00000,370.00000,10.00000,0.12287,2000.00000
10.00000,390.00000,10.00000,0.11543,2000.00000
10.00000,410.00000,10.00000,0.06224,2000.00000
10.00000,430.00000,10.00000,-0.00147,2000.00000
10.00000,450.00000,10.00000,-0.05517,2000.00000
10.00000,470.00000,10.00000,-0.08542,2000.00000
10.00000,490.00000,10.00000,-0.08890,2000.00000
10.00000,510.00000,10.00000,-0.07503,2000.00000
10.00000,530.00000,10.00000,-0.04857,2000.00000
10.00000,550.00000,10.00000,-0.01883,2000.00000
10.00000,570.00000,10.00000,0.00822,2000.00000
10.00000,590.00000,10.00000,0.03057,2000.00000
10.00000,610.00000,10.00000,0.04407,2000.00000
10.00000,630.00000,10.00000,0.05078,2000.00000
10.00000,650.00000,10.00000,0.04986,2000.00000
10.00000,670.00000,10.00000,0.04357,2000.00000
10.00000,690.00000,10.00000,0.03378,2000.00000
10.00000,710.00000,10.00000,0.02128,2000.00000
10.00000,730.00000,10.00000,0.00891,2000.00000
10.00000,750.00000,10.00000,-0.00380,2000.00000
10.00000,770.00000,10.00000,-0.01454,2000.00000
10.00000,790.00000,10.00000,-0.02426,2000.00000
10.00000,810.00000,10.00000,-0.03170,2000.00000
10.00000,830.00000,10.00000,-0.03767,2000.00000
10.00000,850.00000,10.00000,-0.04192,2000.00000
10.00000,870.00000,10.00000,-0.04481,2000.00000
10.00000,890.00000,10.00000,-0.04678,2000.00000
10.00000,910.00000,10.00000,-0.04772,2000.00000
10.00000,930.00000,10.00000,-0.04842,2000.00000
10.00000,950.00000,10.00000,-0.04843,2000.00000
10.00000,970.00000,10.00000,-0.04865,2000.00000
10.00000,990.00000,10.00000,-0.04841,2000.00000
10.00000,1010.00000,10.00000,-0.04860,2000.00000
10.00000,1030.00000,10.00000,-0.04841,2000.00000
10.00000,1050.00000,10.00000,-0.04865,2000.00000
10.00000,1070.00000,10.00000,-0.04843,2000.00000
10.00000,1090.00000,10.00000,-0.04842,2000.00000
10.00000,1110.00000,10.00000,-0.04772,2000.00000
10.00000,1130.00000,10.00000,-0.04678,2000.00000
10.00000,1150.00000,10.00000,-0.04481,2000.00000
10.00000,1170.00000,10.00000,-0.04192,2000.00000
10.00000,1190.00000,10.00000,-0.03767,2000.00000
10.00000,1210.00000,10.00000,-0.03170,2000.00000
10.00000,1230.00000,10.00000,-0.02426,2000.00000
10.00000,1250.00000,10.00000,-0.01455,2000.00000
10.00000,1270.00000,10.00000,-0.00382,2000.00000
10.00000,1290.00000,10.00000,0.00886,2000.00000
10.00000,1310.00000,10.00000,0.02116,2000.00000
10.00000,1330.00000,10.00000,0.03349,2000.00000
10.00000,1350.00000,10.00000,0.04292,2000.00000
10.00000,1370.00000,10.00000,0.04850,2000.00000
10.00000,1390.00000,10.00000,0.04811,2000.00000
10.00000,1410.00000,10.00000,0.03925,2000.00000
10.00000,1430.00000,10.00000,0.02264,2000.00000
10.00000,1450.00000,10.00000,-0.00340,2000.00000
10.00000,1470.00000,10.00000,-0.03343,2000.00000
10.00000,1490.00000,10.00000,-0.06284,2000.00000
10.00000,1510.00000,10.00000,-0.08226,2000.00000
10.00000,1530.00000,10.00000,-0.07989,2000.00000
10.00000,1550.00000,10.00000,-0.05271,2000.00000
10.00000,1570.00000,10.00000,-0.00053,2000.00000
10.00000,1590.00000,10.00000,0.05737,2000.00000
10.00000,1610.00000,10.00000,0.09314,2000.00000
10.00000,1630.00000,10.00000,0.08866,2000.00000
10.00000,1650.00000,10.00000,0.03883,2000.00000
10.00000,1670.00000,10.00000,-0.02161,2000.00000
10.00000,1690.00000,10.00000,-0.04805,2000.00000
10.00000,1710.00000,10.00000,-0.03260,2000.00000
10.00000,1730.00000,10.00000,0.00124,2000.00000
10.00000,1750.00000,10.00000,0.00373,2000.00000
10.00000,1770.00000,10.00000,-0.03550,2000.00000
10.00000,1790.00000,10.00000,-0.03754,2000.00000
10.00000,1810.00000,10.00000,0.04070,2000.00000
10.00000,1830.00000,10.00000,0.11561,2000.00000
10.00000,1850.00000,10.00000,0.07630,2000.00000
10.00000,1870.00000,10.00000,-0.08423,2000.00000
10.00000,1890.00000,10.00000,-0.19785,2000.00000
10.00000,1910.00000,10.00000,-0.05815,2000.00000
10.00000,1930.00000,10.00000,0.21566,2000.00000
10.00000,1950.00000,10.00000,0.20986,2000.00000
10.00000,1970.00000,10.00000,-0.13038,2000.00000
10.00000,1990.00000,10.00000,-0.29355,2000.00000
30.00000,10.00000,10.00000,-0.05834,2000.00000
30.00000,30.00000,10.00000,0.02537,2000.00000
30.00000,50.00000,10.00000,0.08933,2000.00000
30.00000,70.00000,10.00000,-0.02316,2000.00000
30.00000,90.00000,10.00000,-0.12887,2000.00000
30.00000,110.00000,10.00000,-0.02264,2000.00000
30.00000,130.00000,10.00000,0.13507,2000.00000
30.00000,150.00000,10.00000,0.09935,2000.00000
30.00000,170.00000,10.00000,-0.05828,2000.00000
30.00000,190.00000,10.00000,-0.12456,2000.00000
30.00000,210.00000,10.00000,-0.05463,2000.00000
30.00000,230.00000,10.00000,0.05978,2000.00000
30.00000,250.00000,10.00000,0.11050,2000.00000
30.00000,270.00000,10.00000,0.05040,2000.00000
30.00000,290.00000,10.00000,-0.04344,2000.00000
30.00000,310.00000,10.00000,-0.07304,2000.00000
30.00000,330.00000,10.00000,-0.03685,2000.00000
30.00000,350.00000,10.00000,0.02490,2000.00000
30.00000,370.00000,10.00000,0.07013,2000.00000
30.00000,390.00000,10.00000,0.06820,2000.00000
30.00000,410.00000,10.00000,0.03782,2000.00000
30.00000,430.00000,10.00000,0.00460,2000.00000
30.00000,450.00000,10.00000,-0.02052,2000.00000
30.00000,470.00000,10.00000,-0.02659,2000.00000
30.00000,490.00000,10.00000,-0.02368,2000.00000
30.00000,510.00000,10.00000,-0.01982,2000.00000
30.00000,530.00000,10.00000,-0.01699,2000.00000
30.00000,550.00000,10.00000,-0.02152,2000.00000
30.00000,570.00000,10.00000,-0.02742,2000.00000
30.00000,590.00000,10.00000,-0.03446,2000.00000
30.00000,610.00000,10.00000,-0.04001,2000.00000
30.00000,630.00000,10.00000,-0.04077,2000.00000
30.00000,650.00000,10.00000,-0.03941,2000.00000
30.00000,670.00000,10.00000,-0.03297,2000.00000
30.00000,690.00000,10.00000,-0.02536,2000.00000
30.00000,710.00000,10.00000,-0.01558,2000.00000
30.00000,730.00000,10.00000,-0.00561,2000.00000
30.00000,750.00000,10.00000,0.00364,2000.00000
30.00000,770.00000,10.00000,0.01262,2000.00000
30.00000,790.00000,10.00000,0.01932,2000.00000
30.00000,810.00000,10.00000,0.02573,2000.00000
30.00000,830.00000,10.00000,0.02960,2000.00000
30.00000,850.00000,10.00000,0.03336,2000.00000
30.00000,870.00000,10.00000,0.03502,2000.00000
30.00000,890.00000,10.00000,0.03681,2000.00000
30.00000,910.00000,10.00000,0.03716,2000.00000
30.00000,930.00000,10.00000,0.03782,2000.00000
30.00000,950.00000,10.00000,0.03761,2000.00000
30.00000,970.00000,10.00000,0.03783,2000.00000
30.00000,990.00000,10.00000,0.03754,2000.00000
30.00000,1010.00000,10.00000,0.03773,2000.00000
30.00000,1030.00000,10.00000,0.03754,2000.00000
30.00000,1050.00000,10.00000,0.03783,2000.00000
30.00000,1070.00000,10.00000,0.03761,2000.00000
30.00000,1090.00000,10.00000,0.03782,2000.00000
30.00000,1110.00000,10.00000,0.03716,2000.00000
30.00000,1130.00000,10.00000,0.03681,2000.00000
30.00000,1150.00000,10.00000,0.03502,2000.00000
30.00000,1170.00000,10.00000,0.03336,2000.00000
30.00000,1190.00000,10.00000,0.02960,2000.00000
30.00000,1210.00000,10.00000,0.02573,2000.00000
30.00000,1230.00000,10.00000,0.01931,2000.00000
30.00000,1250.00000,10.00000,0.01260,2000.00000
30.00000,1270.00000,10.00000,0.00360,2000.00000
30.00000,1290.00000,10.00000,-0.00572,2000.00000
30.00000,1310.00000,10.00000,-0.01586,2000.00000
30.00000,1330.00000,10.00000,-0.02601,2000.00000
30.00000,1350.00000,10.00000,-0.03440,2000.00000
30.00000,1370.00000,10.00000,-0.04234,2000.00000
30.00000,1390.00000,10.00000,-0.04640,2000.00000
30.00000,1410.00000,10.00000,-0.04995,2000.00000
30.00000,1430.00000,10.00000,-0.05042,2000.00000
30.00000,1450.00000,10.00000,-0.05019,2000.00000
30.00000,1470.00000,10.00000,-0.04918,2000.00000
30.00000,1490.00000,10.00000,-0.04268,2000.00000
30.00000,1510.00000,10.00000,-0.03064,2000.00000
30.00000,1530.00000,10.00000,-0.00320,2000.00000
30.00000,1550.00000,10.00000,0.03682,2000.00000
30.00000,1570.00000,10.00000,0.07960,2000.00000
30.00000,1590.00000,10.00000,0.10734,2000.00000
30.00000,1610.00000,10.00000,0.08736,2000.00000
30.00000,1630.00000,10.00000,0.01814,2000.00000
30.00000,1650.00000,10.00000,-0.07169,2000.00000
30.00000,1670.00000,10.00000,-0.12549,2000.00000
30.00000,1690.00000,10.00000,-0.08008,2000.00000
30.00000,1710.00000,10.00000,0.03980,2000.00000
30.00000,1730.00000,10.00000,0.13500,2000.00000
30.00000,1750.00000,10.00000,0.12020,2000.00000
30.00000,1770.00000,10.00000,-0.01160,2000.00000
30.00000,1790.00000,10.00000,-0.12757,2000.00000
30.00000,1810.00000,10.00000,-0.08674,2000.00000
30.00000,1830.00000,10.00000,0.04330,2000.00000
30.00000,1850.00000,10.00000,0.09297,2000.00000
30.00000,1870.00000,10.00000,0.02741,2000.00000
30.00000,1890.00000,10.00000,-0.05738,2000.00000
30.00000,1910.00000,10.00000,-0.05441,2000.00000
30.00000,1930.00000,10.00000,0.03877,2000.00000
30.00000,1950.00000,10.00000,0.07613,2000.00000
30.00000,1970.00000,10.00000,-0.02300,2000.00000
