TITLE = "data/coba_fd_opr_baru480.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 480", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,-0.27367,2000.00000
10.00000,30.00000,10.00000,-0.08450,2000.00000
10.00000,50.00000,10.00000,0.20980,2000.00000
10.00000,70.00000,10.00000,0.12508,2000.00000
10.00000,90.00000,10.00000,-0.10609,2000.00000
10.00000,110.00000,10.00000,-0.08568,2000.00000
10.00000,130.00000,10.00000,0.03228,2000.00000
10.00000,150.00000,10.00000,-0.00130,2000.00000
10.00000,170.00000,10.00000,-0.04829,2000.00000
10.00000,190.00000,10.00000,0.02365,2000.00000
10.00000,210.00000,10.00000,0.09770,2000.00000
10.00000,230.00000,10.00000,0.07455,2000.00000
10.00000,250.00000,10.00000,-0.03235,2000.00000
10.00000,270.00000,10.00000,-0.13085,2000.00000
10.00000,290.00000,10.00000,-0.10245,2000.00000
10.00000,310.00000,10.00000,0.01604,2000.00000
10.00000,330.00000,10.00000,0.09107,2000.00000
10.00000,350.00000,10.00000,0.08956,2000.00000
10.00000,370.00000,10.00000,0.03618,2000.00000
10.00000,390.00000,10.00000,-0.01975,2000.00000
10.00000,410.00000,10.00000,-0.02839,2000.00000
10.00000,430.00000,10.00000,-0.01300,2000.00000
10.00000,450.00000,10.00000,0.00168,2000.00000
10.00000,470.00000,10.00000,0.00645,2000.00000
10.00000,490.00000,10.00000,-0.00880,2000.00000
10.00000,510.00000,10.00000,-0.02134,2000.00000
10.00000,530.00000,10.00000,-0.02609,2000.00000
10.00000,550.00000,10.00000,-0.02088,2000.00000
10.00000,570.00000,10.00000,-0.00344,2000.00000
10.00000,590.00000,10.00000,0.01176,2000.00000
10.00000,610.00000,10.00000,0.02709,2000.00000
10.00000,630.00000,10.00000,0.03404,2000.00000
10.00000,650.00000,10.00000,0.03438,2000.00000
10.00000,670.00000,10.00000,0.03023,2000.00000
10.00000,690.00000,10.00000,0.01991,2000.00000
10.00000,710.00000,10.00000,0.01044,2000.00000
10.00000,730.00000,10.00000,-0.00234,2000.00000
10.00000,750.00000,10.00000,-0.01185,2000.00000
10.00000,770.00000,10.00000,-0.02202,2000.00000
10.00000,790.00000,10.00000,-0.02912,2000.00000
10.00000,810.00000,10.00000,-0.03518,2000.00000
10.00000,830.00000,10.00000,-0.03954,2000.00000
10.00000,850.00000,10.00000,-0.04204,2000.00000
10.00000,870.00000,10.00000,-0.04430,2000.00000
10.00000,890.00000,10.00000,-0.04449,2000.00000
10.00000,910.00000,10.00000,-0.04555,2000.00000
10.00000,930.00000,10.00000,-0.04461,2000.00000
10.00000,950.00000,10.00000,-0.04526,2000.00000
10.00000,970.00000,10.00000,-0.04404,2000.00000
10.00000,990.00000,10.00000,-0.04477,2000.00000
10.00000,1010.00000,10.00000,-0.04374,2000.00000
10.00000,1030.00000,10.00000,-0.04477,2000.00000
10.00000,1050.00000,10.00000,-0.04404,2000.00000
10.00000,1070.00000,10.00000,-0.04526,2000.00000
10.00000,1090.00000,10.00000,-0.04461,2000.00000
10.00000,1110.00000,10.00000,-0.04555,2000.00000
10.00000,1130.00000,10.00000,-0.04449,2000.00000
10.00000,1150.00000,10.00000,-0.04431,2000.00000
10.00000,1170.00000,10.00000,-0.04205,2000.00000
10.00000,1190.00000,10.00000,-0.03957,2000.00000
10.00000,1210.00000,10.00000,-0.03526,2000.00000
10.00000,1230.00000,10.00000,-0.02931,2000.00000
10.00000,1250.00000,10.00000,-0.02245,2000.00000
10.00000,1270.00000,10.00000,-0.01276,2000.00000
10.00000,1290.00000,10.00000,-0.00418,2000.00000
10.00000,1310.00000,10.00000,0.00703,2000.00000
10.00000,1330.00000,10.00000,0.01410,2000.00000
10.00000,1350.00000,10.00000,0.02129,2000.00000
10.00000,1370.00000,10.00000,0.02233,2000.00000
10.00000,1390.00000,10.00000,0.02062,2000.00000
10.00000,1410.00000,10.00000,0.01682,2000.00000
10.00000,1430.00000,10.00000,0.01197,2000.00000
10.00000,1450.00000,10.00000,0.01514,2000.00000
10.00000,1470.00000,10.00000,0.01925,2000.00000
10.00000,1490.00000,10.00000,0.02726,2000.00000
10.00000,1510.00000,10.00000,0.02239,2000.00000
10.00000,1530.00000,10.00000,-0.00437,2000.00000
10.00000,1550.00000,10.00000,-0.04431,2000.00000
10.00000,1570.00000,10.00000,-0.08385,2000.00000
10.00000,1590.00000,10.00000,-0.07566,2000.00000
10.00000,1610.00000,10.00000,-0.01125,2000.00000
10.00000,1630.00000,10.00000,0.07473,2000.00000
10.00000,1650.00000,10.00000,0.12546,2000.00000
10.00000,1670.00000,10.00000,0.07656,2000.00000
10.00000,1690.00000,10.00000,-0.02385,2000.00000
10.00000,1710.00000,10.00000,-0.07440,2000.00000
10.00000,1730.00000,10.00000,-0.04897,2000.00000
10.00000,1750.00000,10.00000,0.01075,2000.00000
10.00000,1770.00000,10.00000,0.00487,2000.00000
10.00000,1790.00000,10.00000,-0.06082,2000.00000
10.00000,1810.00000,10.00000,-0.01850,2000.00000
10.00000,1830.00000,10.00000,0.11865,2000.00000
10.00000,1850.00000,10.00000,0.12270,2000.00000
10.00000,1870.00000,10.00000,-0.04591,2000.00000
10.00000,1890.00000,10.00000,-0.17782,2000.00000
10.00000,1910.00000,10.00000,-0.09306,2000.00000
10.00000,1930.00000,10.00000,0.13735,2000.00000
10.00000,1950.00000,10.00000,0.18982,2000.00000
10.00000,1970.00000,10.00000,-0.06200,2000.00000
10.00000,1990.00000,10.00000,-0.22251,2000.00000
30.00000,10.00000,10.00000,-0.08450,2000.00000
30.00000,30.00000,10.00000,0.04380,2000.00000
30.00000,50.00000,10.00000,0.10036,2000.00000
30.00000,70.00000,10.00000,-0.06966,2000.00000
30.00000,90.00000,10.00000,-0.12989,2000.00000
30.00000,110.00000,10.00000,0.04945,2000.00000
30.00000,130.00000,10.00000,0.14722,2000.00000
30.00000,150.00000,10.00000,0.02843,2000.00000
30.00000,170.00000,10.00000,-0.10071,2000.00000
30.00000,190.00000,10.00000,-0.09739,2000.00000
30.00000,210.00000,10.00000,0.01148,2000.00000
30.00000,230.00000,10.00000,0.09542,2000.00000
30.00000,250.00000,10.00000,0.03856,2000.00000
30.00000,270.00000,10.00000,-0.05359,2000.00000
30.00000,290.00000,10.00000,-0.02891,2000.00000
30.00000,310.00000,10.00000,0.04885,2000.00000
30.00000,330.00000,10.00000,0.07392,2000.00000
30.00000,350.00000,10.00000,0.02161,2000.00000
30.00000,370.00000,10.00000,-0.07871,2000.00000
30.00000,390.00000,10.00000,-0.12148,2000.00000
30.00000,410.00000,10.00000,-0.06760,2000.00000
30.00000,430.00000,10.00000,0.02649,2000.00000
30.00000,450.00000,10.00000,0.11531,2000.00000
30.00000,470.00000,10.00000,0.14453,2000.00000
30.00000,490.00000,10.00000,0.11207,2000.00000
30.00000,510.00000,10.00000,0.05451,2000.00000
30.00000,530.00000,10.00000,-0.01273,2000.00000
30.00000,550.00000,10.00000,-0.05750,2000.00000
30.00000,570.00000,10.00000,-0.08152,2000.00000
30.00000,590.00000,10.00000,-0.08862,2000.00000
30.00000,610.00000,10.00000,-0.07938,2000.00000
30.00000,630.00000,10.00000,-0.06953,2000.00000
30.00000,650.00000,10.00000,-0.05234,2000.00000
30.00000,670.00000,10.00000,-0.03883,2000.00000
30.00000,690.00000,10.00000,-0.02395,2000.00000
30.00000,710.00000,10.00000,-0.01044,2000.00000
30.00000,730.00000,10.00000,0.00022,2000.00000
30.00000,750.00000,10.00000,0.01194,2000.00000
30.00000,770.00000,10.00000,0.01851,2000.00000
30.00000,790.00000,10.00000,0.02715,2000.00000
30.00000,810.00000,10.00000,0.03035,2000.00000
30.00000,830.00000,10.00000,0.03564,2000.00000
30.00000,850.00000,10.00000,0.03654,2000.00000
30.00000,870.00000,10.00000,0.03911,2000.00000
30.00000,890.00000,10.00000,0.03879,2000.00000
30.00000,910.00000,10.00000,0.03964,2000.00000
30.00000,930.00000,10.00000,0.03894,2000.00000
30.00000,950.00000,10.00000,0.03901,2000.00000
30.00000,970.00000,10.00000,0.03845,2000.00000
30.00000,990.00000,10.00000,0.03840,2000.00000
30.00000,1010.00000,10.00000,0.03818,2000.00000
30.00000,1030.00000,10.00000,0.03840,2000.00000
30.00000,1050.00000,10.00000,0.03845,2000.00000
30.00000,1070.00000,10.00000,0.03901,2000.00000
30.00000,1090.00000,10.00000,0.03894,2000.00000
30.00000,1110.00000,10.00000,0.03964,2000.00000
30.00000,1130.00000,10.00000,0.03879,2000.00000
30.00000,1150.00000,10.00000,0.03910,2000.00000
30.00000,1170.00000,10.00000,0.03652,2000.00000
30.00000,1190.00000,10.00000,0.03557,2000.00000
30.00000,1210.00000,10.00000,0.03018,2000.00000
30.00000,1230.00000,10.00000,0.02673,2000.00000
30.00000,1250.00000,10.00000,0.01757,2000.00000
30.00000,1270.00000,10.00000,0.00997,2000.00000
30.00000,1290.00000,10.00000,-0.00365,2000.00000
30.00000,1310.00000,10.00000,-0.01750,2000.00000
30.00000,1330.00000,10.00000,-0.03573,2000.00000
30.00000,1350.00000,10.00000,-0.05656,2000.00000
30.00000,1370.00000,10.00000,-0.07566,2000.00000
30.00000,1390.00000,10.00000,-0.09460,2000.00000
30.00000,1410.00000,10.00000,-0.09727,2000.00000
30.00000,1430.00000,10.00000,-0.08567,2000.00000
