TITLE = "data/convFD363.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 363", I = 100, J = 1, K = 100
10.00000,10.00000,10.00000,0.01788,2000.00000
30.00000,10.00000,10.00000,0.02161,2000.00000
50.00000,10.00000,10.00000,0.00223,2000.00000
70.00000,10.00000,10.00000,-0.03880,2000.00000
90.00000,10.00000,10.00000,-0.08670,2000.00000
110.00000,10.00000,10.00000,-0.11668,2000.00000
130.00000,10.00000,10.00000,-0.10574,2000.00000
150.00000,10.00000,10.00000,-0.04864,2000.00000
170.00000,10.00000,10.00000,0.03282,2000.00000
190.00000,10.00000,10.00000,0.09756,2000.00000
210.00000,10.00000,10.00000,0.10897,2000.00000
230.00000,10.00000,10.00000,0.05937,2000.00000
250.00000,10.00000,10.00000,-0.02352,2000.00000
270.00000,10.00000,10.00000,-0.09383,2000.00000
290.00000,10.00000,10.00000,-0.11545,2000.00000
310.00000,10.00000,10.00000,-0.08110,2000.00000
330.00000,10.00000,10.00000,-0.01208,2000.00000
350.00000,10.00000,10.00000,0.05699,2000.00000
370.00000,10.00000,10.00000,0.09656,2000.00000
390.00000,10.00000,10.00000,0.09407,2000.00000
410.00000,10.00000,10.00000,0.05563,2000.00000
430.00000,10.00000,10.00000,-0.00046,2000.00000
450.00000,10.00000,10.00000,-0.05312,2000.00000
470.00000,10.00000,10.00000,-0.08638,2000.00000
490.00000,10.00000,10.00000,-0.09319,2000.00000
510.00000,10.00000,10.00000,-0.07540,2000.00000
530.00000,10.00000,10.00000,-0.04093,2000.00000
550.00000,10.00000,10.00000,-0.00011,2000.00000
570.00000,10.00000,10.00000,0.03751,2000.00000
590.00000,10.00000,10.00000,0.06516,2000.00000
610.00000,10.00000,10.00000,0.07951,2000.00000
630.00000,10.00000,10.00000,0.08041,2000.00000
650.00000,10.00000,10.00000,0.06998,2000.00000
670.00000,10.00000,10.00000,0.05154,2000.00000
690.00000,10.00000,10.00000,0.02874,2000.00000
710.00000,10.00000,10.00000,0.00484,2000.00000
730.00000,10.00000,10.00000,-0.01762,2000.00000
750.00000,10.00000,10.00000,-0.03698,2000.00000
770.00000,10.00000,10.00000,-0.05237,2000.00000
790.00000,10.00000,10.00000,-0.06360,2000.00000
810.00000,10.00000,10.00000,-0.07093,2000.00000
830.00000,10.00000,10.00000,-0.07494,2000.00000
850.00000,10.00000,10.00000,-0.07631,2000.00000
870.00000,10.00000,10.00000,-0.07578,2000.00000
890.00000,10.00000,10.00000,-0.07402,2000.00000
910.00000,10.00000,10.00000,-0.07162,2000.00000
930.00000,10.00000,10.00000,-0.06905,2000.00000
950.00000,10.00000,10.00000,-0.06670,2000.00000
970.00000,10.00000,10.00000,-0.06484,2000.00000
990.00000,10.00000,10.00000,-0.06366,2000.00000
1010.00000,10.00000,10.00000,-0.06325,2000.00000
1030.00000,10.00000,10.00000,-0.06366,2000.00000
1050.00000,10.00000,10.00000,-0.06484,2000.00000
1070.00000,10.00000,10.00000,-0.06670,2000.00000
1090.00000,10.00000,10.00000,-0.06905,2000.00000
1110.00000,10.00000,10.00000,-0.07162,2000.00000
1130.00000,10.00000,10.00000,-0.07402,2000.00000
1150.00000,10.00000,10.00000,-0.07578,2000.00000
1170.00000,10.00000,10.00000,-0.07631,2000.00000
1190.00000,10.00000,10.00000,-0.07494,2000.00000
1210.00000,10.00000,10.00000,-0.07093,2000.00000
1230.00000,10.00000,10.00000,-0.06360,2000.00000
1250.00000,10.00000,10.00000,-0.05237,2000.00000
1270.00000,10.00000,10.00000,-0.03698,2000.00000
1290.00000,10.00000,10.00000,-0.01762,2000.00000
1310.00000,10.00000,10.00000,0.00484,2000.00000
1330.00000,10.00000,10.00000,0.02874,2000.00000
1350.00000,10.00000,10.00000,0.05154,2000.00000
1370.00000,10.00000,10.00000,0.06998,2000.00000
1390.00000,10.00000,10.00000,0.08041,2000.00000
1410.00000,10.00000,10.00000,0.07951,2000.00000
1430.00000,10.00000,10.00000,0.06516,2000.00000
1450.00000,10.00000,10.00000,0.03751,2000.00000
1470.00000,10.00000,10.00000,-0.00011,2000.00000
1490.00000,10.00000,10.00000,-0.04093,2000.00000
1510.00000,10.00000,10.00000,-0.07540,2000.00000
1530.00000,10.00000,10.00000,-0.09319,2000.00000
1550.00000,10.00000,10.00000,-0.08638,2000.00000
1570.00000,10.00000,10.00000,-0.05312,2000.00000
1590.00000,10.00000,10.00000,-0.00046,2000.00000
1610.00000,10.00000,10.00000,0.05563,2000.00000
1630.00000,10.00000,10.00000,0.09407,2000.00000
1650.00000,10.00000,10.00000,0.09656,2000.00000
1670.00000,10.00000,10.00000,0.05699,2000.00000
1690.00000,10.00000,10.00000,-0.01208,2000.00000
1710.00000,10.00000,10.00000,-0.08111,2000.00000
1730.00000,10.00000,10.00000,-0.11545,2000.00000
1750.00000,10.00000,10.00000,-0.09383,2000.00000
1770.00000,10.00000,10.00000,-0.02355,2000.00000
1790.00000,10.00000,10.00000,0.05931,2000.00000
1810.00000,10.00000,10.00000,0.10880,2000.00000
1830.00000,10.00000,10.00000,0.09714,2000.00000
