TITLE = "data/coba_fd_opr_baru283.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 283", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,0.00000,2000.00000
10.00000,30.00000,10.00000,0.00000,2000.00000
10.00000,50.00000,10.00000,0.00000,2000.00000
10.00000,70.00000,10.00000,0.00000,2000.00000
10.00000,90.00000,10.00000,0.00000,2000.00000
10.00000,110.00000,10.00000,0.00000,2000.00000
10.00000,130.00000,10.00000,0.00000,2000.00000
10.00000,150.00000,10.00000,0.00000,2000.00000
10.00000,170.00000,10.00000,0.00000,2000.00000
10.00000,190.00000,10.00000,0.00000,2000.00000
10.00000,210.00000,10.00000,0.00001,2000.00000
10.00000,230.00000,10.00000,0.00002,2000.00000
10.00000,250.00000,10.00000,0.00005,2000.00000
10.00000,270.00000,10.00000,0.00013,2000.00000
10.00000,290.00000,10.00000,0.00029,2000.00000
10.00000,310.00000,10.00000,0.00064,2000.00000
10.00000,330.00000,10.00000,0.00132,2000.00000
10.00000,350.00000,10.00000,0.00256,2000.00000
10.00000,370.00000,10.00000,0.00468,2000.00000
10.00000,390.00000,10.00000,0.00807,2000.00000
10.00000,410.00000,10.00000,0.01309,2000.00000
10.00000,430.00000,10.00000,0.02001,2000.00000
10.00000,450.00000,10.00000,0.02883,2000.00000
10.00000,470.00000,10.00000,0.03920,2000.00000
10.00000,490.00000,10.00000,0.05034,2000.00000
10.00000,510.00000,10.00000,0.06106,2000.00000
10.00000,530.00000,10.00000,0.06998,2000.00000
10.00000,550.00000,10.00000,0.07571,2000.00000
10.00000,570.00000,10.00000,0.07711,2000.00000
10.00000,590.00000,10.00000,0.07350,2000.00000
10.00000,610.00000,10.00000,0.06476,2000.00000
10.00000,630.00000,10.00000,0.05134,2000.00000
10.00000,650.00000,10.00000,0.03415,2000.00000
10.00000,670.00000,10.00000,0.01442,2000.00000
10.00000,690.00000,10.00000,-0.00649,2000.00000
10.00000,710.00000,10.00000,-0.02732,2000.00000
10.00000,730.00000,10.00000,-0.04694,2000.00000
10.00000,750.00000,10.00000,-0.06453,2000.00000
10.00000,770.00000,10.00000,-0.07956,2000.00000
10.00000,790.00000,10.00000,-0.09179,2000.00000
10.00000,810.00000,10.00000,-0.10124,2000.00000
10.00000,830.00000,10.00000,-0.10811,2000.00000
10.00000,850.00000,10.00000,-0.11274,2000.00000
10.00000,870.00000,10.00000,-0.11553,2000.00000
10.00000,890.00000,10.00000,-0.11692,2000.00000
10.00000,910.00000,10.00000,-0.11732,2000.00000
10.00000,930.00000,10.00000,-0.11711,2000.00000
10.00000,950.00000,10.00000,-0.11660,2000.00000
10.00000,970.00000,10.00000,-0.11606,2000.00000
10.00000,990.00000,10.00000,-0.11567,2000.00000
10.00000,1010.00000,10.00000,-0.11552,2000.00000
10.00000,1030.00000,10.00000,-0.11567,2000.00000
