TITLE = "data/coba_fd_opr_baru407.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 407", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,-0.15941,2000.00000
10.00000,30.00000,10.00000,-0.16911,2000.00000
10.00000,50.00000,10.00000,-0.02691,2000.00000
10.00000,70.00000,10.00000,0.12526,2000.00000
10.00000,90.00000,10.00000,0.15028,2000.00000
10.00000,110.00000,10.00000,0.05037,2000.00000
10.00000,130.00000,10.00000,-0.05419,2000.00000
10.00000,150.00000,10.00000,-0.06482,2000.00000
10.00000,170.00000,10.00000,0.00263,2000.00000
10.00000,190.00000,10.00000,0.06052,2000.00000
10.00000,210.00000,10.00000,0.04958,2000.00000
10.00000,230.00000,10.00000,-0.01841,2000.00000
10.00000,250.00000,10.00000,-0.09018,2000.00000
10.00000,270.00000,10.00000,-0.11790,2000.00000
10.00000,290.00000,10.00000,-0.08729,2000.00000
10.00000,310.00000,10.00000,-0.02004,2000.00000
10.00000,330.00000,10.00000,0.04588,2000.00000
10.00000,350.00000,10.00000,0.08065,2000.00000
10.00000,370.00000,10.00000,0.07434,2000.00000
10.00000,390.00000,10.00000,0.03606,2000.00000
10.00000,410.00000,10.00000,-0.01400,2000.00000
10.00000,430.00000,10.00000,-0.05553,2000.00000
10.00000,450.00000,10.00000,-0.07568,2000.00000
10.00000,470.00000,10.00000,-0.07109,2000.00000
10.00000,490.00000,10.00000,-0.04669,2000.00000
10.00000,510.00000,10.00000,-0.01200,2000.00000
10.00000,530.00000,10.00000,0.02297,2000.00000
10.00000,550.00000,10.00000,0.05019,2000.00000
10.00000,570.00000,10.00000,0.06523,2000.00000
10.00000,590.00000,10.00000,0.06715,2000.00000
10.00000,610.00000,10.00000,0.05768,2000.00000
10.00000,630.00000,10.00000,0.04020,2000.00000
10.00000,650.00000,10.00000,0.01853,2000.00000
10.00000,670.00000,10.00000,-0.00383,2000.00000
10.00000,690.00000,10.00000,-0.02414,2000.00000
10.00000,710.00000,10.00000,-0.04070,2000.00000
10.00000,730.00000,10.00000,-0.05266,2000.00000
10.00000,750.00000,10.00000,-0.05997,2000.00000
10.00000,770.00000,10.00000,-0.06306,2000.00000
10.00000,790.00000,10.00000,-0.06268,2000.00000
10.00000,810.00000,10.00000,-0.05969,2000.00000
10.00000,830.00000,10.00000,-0.05495,2000.00000
10.00000,850.00000,10.00000,-0.04923,2000.00000
10.00000,870.00000,10.00000,-0.04315,2000.00000
10.00000,890.00000,10.00000,-0.03722,2000.00000
10.00000,910.00000,10.00000,-0.03179,2000.00000
10.00000,930.00000,10.00000,-0.02712,2000.00000
10.00000,950.00000,10.00000,-0.02336,2000.00000
10.00000,970.00000,10.00000,-0.02062,2000.00000
10.00000,990.00000,10.00000,-0.01896,2000.00000
10.00000,1010.00000,10.00000,-0.01841,2000.00000
10.00000,1030.00000,10.00000,-0.01896,2000.00000
10.00000,1050.00000,10.00000,-0.02062,2000.00000
10.00000,1070.00000,10.00000,-0.02336,2000.00000
10.00000,1090.00000,10.00000,-0.02712,2000.00000
10.00000,1110.00000,10.00000,-0.03179,2000.00000
10.00000,1130.00000,10.00000,-0.03722,2000.00000
10.00000,1150.00000,10.00000,-0.04315,2000.00000
10.00000,1170.00000,10.00000,-0.04923,2000.00000
