TITLE = "data/coba_fd_opr_baru436.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 436", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,0.22295,2000.00000
10.00000,30.00000,10.00000,0.16509,2000.00000
10.00000,50.00000,10.00000,-0.09607,2000.00000
10.00000,70.00000,10.00000,-0.23249,2000.00000
10.00000,90.00000,10.00000,-0.08865,2000.00000
10.00000,110.00000,10.00000,0.14408,2000.00000
10.00000,130.00000,10.00000,0.20200,2000.00000
10.00000,150.00000,10.00000,0.05864,2000.00000
10.00000,170.00000,10.00000,-0.11274,2000.00000
10.00000,190.00000,10.00000,-0.16776,2000.00000
10.00000,210.00000,10.00000,-0.09205,2000.00000
10.00000,230.00000,10.00000,0.04177,2000.00000
10.00000,250.00000,10.00000,0.13986,2000.00000
10.00000,270.00000,10.00000,0.14848,2000.00000
10.00000,290.00000,10.00000,0.08224,2000.00000
10.00000,310.00000,10.00000,-0.00983,2000.00000
10.00000,330.00000,10.00000,-0.08383,2000.00000
10.00000,350.00000,10.00000,-0.11310,2000.00000
10.00000,370.00000,10.00000,-0.09625,2000.00000
10.00000,390.00000,10.00000,-0.05163,2000.00000
10.00000,410.00000,10.00000,-0.00016,2000.00000
10.00000,430.00000,10.00000,0.03996,2000.00000
10.00000,450.00000,10.00000,0.05810,2000.00000
10.00000,470.00000,10.00000,0.05432,2000.00000
10.00000,490.00000,10.00000,0.03359,2000.00000
10.00000,510.00000,10.00000,0.00442,2000.00000
10.00000,530.00000,10.00000,-0.02420,2000.00000
10.00000,550.00000,10.00000,-0.04646,2000.00000
10.00000,570.00000,10.00000,-0.05841,2000.00000
10.00000,590.00000,10.00000,-0.05959,2000.00000
10.00000,610.00000,10.00000,-0.05158,2000.00000
10.00000,630.00000,10.00000,-0.03677,2000.00000
10.00000,650.00000,10.00000,-0.01862,2000.00000
10.00000,670.00000,10.00000,0.00040,2000.00000
10.00000,690.00000,10.00000,0.01783,2000.00000
10.00000,710.00000,10.00000,0.03234,2000.00000
10.00000,730.00000,10.00000,0.04323,2000.00000
10.00000,750.00000,10.00000,0.05024,2000.00000
10.00000,770.00000,10.00000,0.05387,2000.00000
10.00000,790.00000,10.00000,0.05444,2000.00000
10.00000,810.00000,10.00000,0.05286,2000.00000
10.00000,830.00000,10.00000,0.04960,2000.00000
10.00000,850.00000,10.00000,0.04546,2000.00000
10.00000,870.00000,10.00000,0.04083,2000.00000
10.00000,890.00000,10.00000,0.03624,2000.00000
10.00000,910.00000,10.00000,0.03193,2000.00000
10.00000,930.00000,10.00000,0.02819,2000.00000
10.00000,950.00000,10.00000,0.02515,2000.00000
10.00000,970.00000,10.00000,0.02291,2000.00000
10.00000,990.00000,10.00000,0.02156,2000.00000
10.00000,1010.00000,10.00000,0.02110,2000.00000
10.00000,1030.00000,10.00000,0.02156,2000.00000
10.00000,1050.00000,10.00000,0.02291,2000.00000
10.00000,1070.00000,10.00000,0.02515,2000.00000
10.00000,1090.00000,10.00000,0.02819,2000.00000
10.00000,1110.00000,10.00000,0.03193,2000.00000
10.00000,1130.00000,10.00000,0.03624,2000.00000
10.00000,1150.00000,10.00000,0.04083,2000.00000
10.00000,1170.00000,10.00000,0.04546,2000.00000
10.00000,1190.00000,10.00000,0.04960,2000.00000
10.00000,1210.00000,10.00000,0.05286,2000.00000
