TITLE = "data/coba_fd_opr_baru315.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 315", I = 100, J = 100, K = 1
10.00000,10.00000,10.00000,0.00001,2000.00000
10.00000,30.00000,10.00000,0.00002,2000.00000
10.00000,50.00000,10.00000,0.00005,2000.00000
10.00000,70.00000,10.00000,0.00012,2000.00000
10.00000,90.00000,10.00000,0.00031,2000.00000
10.00000,110.00000,10.00000,0.00073,2000.00000
10.00000,130.00000,10.00000,0.00161,2000.00000
10.00000,150.00000,10.00000,0.00336,2000.00000
10.00000,170.00000,10.00000,0.00655,2000.00000
10.00000,190.00000,10.00000,0.01192,2000.00000
10.00000,210.00000,10.00000,0.02016,2000.00000
10.00000,230.00000,10.00000,0.03158,2000.00000
10.00000,250.00000,10.00000,0.04551,2000.00000
10.00000,270.00000,10.00000,0.05987,2000.00000
10.00000,290.00000,10.00000,0.07100,2000.00000
10.00000,310.00000,10.00000,0.07425,2000.00000
10.00000,330.00000,10.00000,0.06533,2000.00000
10.00000,350.00000,10.00000,0.04214,2000.00000
10.00000,370.00000,10.00000,0.00629,2000.00000
10.00000,390.00000,10.00000,-0.03663,2000.00000
10.00000,410.00000,10.00000,-0.07811,2000.00000
10.00000,430.00000,10.00000,-0.10913,2000.00000
10.00000,450.00000,10.00000,-0.12273,2000.00000
10.00000,470.00000,10.00000,-0.11592,2000.00000
10.00000,490.00000,10.00000,-0.09029,2000.00000
10.00000,510.00000,10.00000,-0.05128,2000.00000
10.00000,530.00000,10.00000,-0.00649,2000.00000
10.00000,550.00000,10.00000,0.03623,2000.00000
10.00000,570.00000,10.00000,0.07041,2000.00000
10.00000,590.00000,10.00000,0.09200,2000.00000
10.00000,610.00000,10.00000,0.09955,2000.00000
10.00000,630.00000,10.00000,0.09397,2000.00000
10.00000,650.00000,10.00000,0.07779,2000.00000
10.00000,670.00000,10.00000,0.05439,2000.00000
10.00000,690.00000,10.00000,0.02729,2000.00000
10.00000,710.00000,10.00000,-0.00037,2000.00000
10.00000,730.00000,10.00000,-0.02617,2000.00000
10.00000,750.00000,10.00000,-0.04849,2000.00000
10.00000,770.00000,10.00000,-0.06647,2000.00000
10.00000,790.00000,10.00000,-0.07990,2000.00000
10.00000,810.00000,10.00000,-0.08905,2000.00000
10.00000,830.00000,10.00000,-0.09448,2000.00000
10.00000,850.00000,10.00000,-0.09692,2000.00000
10.00000,870.00000,10.00000,-0.09712,2000.00000
10.00000,890.00000,10.00000,-0.09583,2000.00000
10.00000,910.00000,10.00000,-0.09369,2000.00000
10.00000,930.00000,10.00000,-0.09125,2000.00000
10.00000,950.00000,10.00000,-0.08892,2000.00000
10.00000,970.00000,10.00000,-0.08705,2000.00000
10.00000,990.00000,10.00000,-0.08584,2000.00000
10.00000,1010.00000,10.00000,-0.08542,2000.00000
10.00000,1030.00000,10.00000,-0.08584,2000.00000
10.00000,1050.00000,10.00000,-0.08705,2000.00000
10.00000,1070.00000,10.00000,-0.08892,2000.00000
10.00000,1090.00000,10.00000,-0.09125,2000.00000
10.00000,1110.00000,10.00000,-0.09369,2000.00000
10.00000,1130.00000,10.00000,-0.09583,2000.00000
10.00000,1150.00000,10.00000,-0.09712,2000.00000
