TITLE = "data/convFD444.dat"
VARIABLES = "x","y","z","Wavefield","Velocity"
ZONE T = "Frame 444", I = 100, J = 1, K = 100
10.00000,10.00000,10.00000,-0.16476,2000.00000
30.00000,10.00000,10.00000,-0.11592,2000.00000
50.00000,10.00000,10.00000,0.08093,2000.00000
70.00000,10.00000,10.00000,0.16865,2000.00000
90.00000,10.00000,10.00000,0.04369,2000.00000
110.00000,10.00000,10.00000,-0.11705,2000.00000
130.00000,10.00000,10.00000,-0.11991,2000.00000
150.00000,10.00000,10.00000,0.00030,2000.00000
170.00000,10.00000,10.00000,0.08786,2000.00000
190.00000,10.00000,10.00000,0.08072,2000.00000
210.00000,10.00000,10.00000,0.02038,2000.00000
230.00000,10.00000,10.00000,-0.03873,2000.00000
250.00000,10.00000,10.00000,-0.05970,2000.00000
270.00000,10.00000,10.00000,-0.03654,2000.00000
290.00000,10.00000,10.00000,0.00375,2000.00000
310.00000,10.00000,10.00000,0.03807,2000.00000
330.00000,10.00000,10.00000,0.05851,2000.00000
350.00000,10.00000,10.00000,0.05820,2000.00000
370.00000,10.00000,10.00000,0.03865,2000.00000
390.00000,10.00000,10.00000,0.00811,2000.00000
410.00000,10.00000,10.00000,-0.02715,2000.00000
430.00000,10.00000,10.00000,-0.05704,2000.00000
450.00000,10.00000,10.00000,-0.07345,2000.00000
470.00000,10.00000,10.00000,-0.07458,2000.00000
490.00000,10.00000,10.00000,-0.06017,2000.00000
510.00000,10.00000,10.00000,-0.03532,2000.00000
530.00000,10.00000,10.00000,-0.00660,2000.00000
550.00000,10.00000,10.00000,0.02084,2000.00000
570.00000,10.00000,10.00000,0.04146,2000.00000
590.00000,10.00000,10.00000,0.05352,2000.00000
610.00000,10.00000,10.00000,0.05634,2000.00000
630.00000,10.00000,10.00000,0.05089,2000.00000
650.00000,10.00000,10.00000,0.03973,2000.00000
670.00000,10.00000,10.00000,0.02462,2000.00000
690.00000,10.00000,10.00000,0.00844,2000.00000
710.00000,10.00000,10.00000,-0.00745,2000.00000
730.00000,10.00000,10.00000,-0.02148,2000.00000
750.00000,10.00000,10.00000,-0.03297,2000.00000
770.00000,10.00000,10.00000,-0.04175,2000.00000
790.00000,10.00000,10.00000,-0.04764,2000.00000
810.00000,10.00000,10.00000,-0.05126,2000.00000
830.00000,10.00000,10.00000,-0.05268,2000.00000
850.00000,10.00000,10.00000,-0.05277,2000.00000
870.00000,10.00000,10.00000,-0.05161,2000.00000
890.00000,10.00000,10.00000,-0.04998,2000.00000
910.00000,10.00000,10.00000,-0.04792,2000.00000
930.00000,10.00000,10.00000,-0.04600,2000.00000
950.00000,10.00000,10.00000,-0.04419,2000.00000
970.00000,10.00000,10.00000,-0.04288,2000.00000
990.00000,10.00000,10.00000,-0.04198,2000.00000
1010.00000,10.00000,10.00000,-0.04173,2000.00000
1030.00000,10.00000,10.00000,-0.04198,2000.00000
1050.00000,10.00000,10.00000,-0.04288,2000.00000
1070.00000,10.00000,10.00000,-0.04419,2000.00000
1090.00000,10.00000,10.00000,-0.04600,2000.00000
1110.00000,10.00000,10.00000,-0.04792,2000.00000
1130.00000,10.00000,10.00000,-0.04998,2000.00000
1150.00000,10.00000,10.00000,-0.05161,2000.00000
1170.00000,10.00000,10.00000,-0.05277,2000.00000
1190.00000,10.00000,10.00000,-0.05268,2000.00000
1210.00000,10.00000,10.00000,-0.05126,2000.00000
1230.00000,10.00000,10.00000,-0.04764,2000.00000
1250.00000,10.00000,10.00000,-0.04175,2000.00000
1270.00000,10.00000,10.00000,-0.03297,2000.00000
1290.00000,10.00000,10.00000,-0.02148,2000.00000
1310.00000,10.00000,10.00000,-0.00745,2000.00000
1330.00000,10.00000,10.00000,0.00843,2000.00000
1350.00000,10.00000,10.00000,0.02461,2000.00000
1370.00000,10.00000,10.00000,0.03968,2000.00000
1390.00000,10.00000,10.00000,0.05078,2000.00000
1410.00000,10.00000,10.00000,0.05607,2000.00000
1430.00000,10.00000,10.00000,0.05290,2000.00000
1450.00000,10.00000,10.00000,0.04013,2000.00000
1470.00000,10.00000,10.00000,0.01819,2000.00000
1490.00000,10.00000,10.00000,-0.01147,2000.00000
1510.00000,10.00000,10.00000,-0.04350,2000.00000
1530.00000,10.00000,10.00000,-0.07245,2000.00000
1550.00000,10.00000,10.00000,-0.09045,2000.00000
1570.00000,10.00000,10.00000,-0.08971,2000.00000
1590.00000,10.00000,10.00000,-0.06669,2000.00000
1610.00000,10.00000,10.00000,-0.02002,2000.00000
1630.00000,10.00000,10.00000,0.04108,2000.00000
1650.00000,10.00000,10.00000,0.09728,2000.00000
1670.00000,10.00000,10.00000,0.12489,2000.00000
1690.00000,10.00000,10.00000,0.09837,2000.00000
1710.00000,10.00000,10.00000,0.01580,2000.00000
1730.00000,10.00000,10.00000,-0.08547,2000.00000
1750.00000,10.00000,10.00000,-0.14452,2000.00000
1770.00000,10.00000,10.00000,-0.10329,2000.00000
1790.00000,10.00000,10.00000,0.03314,2000.00000
1810.00000,10.00000,10.00000,0.15920,2000.00000
1830.00000,10.00000,10.00000,0.15389,2000.00000
1850.00000,10.00000,10.00000,0.00348,2000.00000
1870.00000,10.00000,10.00000,-0.16818,2000.00000
1890.00000,10.00000,10.00000,-0.17856,2000.00000
1910.00000,10.00000,10.00000,0.02508,2000.00000
1930.00000,10.00000,10.00000,0.22467,2000.00000
1950.00000,10.00000,10.00000,0.14374,2000.00000
1970.00000,10.00000,10.00000,-0.14166,2000.00000
1990.00000,10.00000,10.00000,-0.23997,2000.00000
10.00000,10.00000,30.00000,-0.11592,2000.00000
30.00000,10.00000,30.00000,-0.03807,2000.00000
50.00000,10.00000,30.00000,0.10709,2000.00000
70.00000,10.00000,30.00000,0.08260,2000.00000
90.00000,10.00000,30.00000,-0.07312,2000.00000
110.00000,10.00000,30.00000,-0.11964,2000.00000
130.00000,10.00000,30.00000,0.00408,2000.00000
150.00000,10.00000,30.00000,0.12050,2000.00000
170.00000,10.00000,30.00000,0.09769,2000.00000
190.00000,10.00000,30.00000,-0.01715,2000.00000
